,date,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date,date,day,close,Name
769,2019-07-25,25,6.989999771118164,6.909999847412109,6.980000019073486,9769615.0,6.611726760864258,6.915999984741211,6.9,6.760666688283284,0.03788822060620234,6.921463844316005,2019,7,2019-07-25,25,3,6.909999847412109,彩晶(6116)
770,2019-07-26,26,6.900000095367432,6.769999980926514,6.889999866485596,20814664.0,6.50647497177124,6.898000049591064,6.897000026702881,6.761000029246012,0.028824630908037108,6.84048807526191,2019,7,2019-07-26,26,4,6.800000190734863,彩晶(6116)
771,2019-07-29,29,6.960000038146973,6.809999942779541,6.820000171661377,27786566.0,6.650000095367432,6.9079999923706055,6.913000011444092,6.769000021616618,0.03336082358102921,6.913495897930727,2019,7,2019-07-29,29,0,6.949999809265137,彩晶(6116)
772,2019-07-30,30,6.760000228881836,6.610000133514404,6.71999979019165,23801385.0,6.610000133514404,6.846000003814697,6.888000011444092,6.766333357493083,0.009412159107320406,6.711165388319845,2019,7,2019-07-30,30,1,6.610000133514404,彩晶(6116)
773,2019-07-31,31,6.679999828338623,6.559999942779541,6.619999885559082,11829056.0,6.639999866485596,6.781999969482422,6.846000003814697,6.762666686375936,-0.007065159535146748,6.663721707097012,2019,7,2019-07-31,31,2,6.639999866485596,彩晶(6116)
774,2019-08-01,1,6.619999885559082,6.519999980926514,6.599999904632568,11434686.0,6.539999961853027,6.707999992370605,6.811999988555908,6.754666678110758,-0.027871425399104588,6.581240543601022,2019,8,2019-08-01,1,3,6.539999961853027,彩晶(6116)
775,2019-08-02,2,6.5,6.300000190734863,6.5,19085724.0,6.309999942779541,6.609999942779541,6.753999996185303,6.742000007629395,-0.0622025876357144,6.400413476386702,2019,8,2019-08-02,2,4,6.309999942779541,彩晶(6116)
776,2019-08-05,5,6.309999942779541,5.980000019073486,6.300000190734863,23827180.0,5.989999771118164,6.417999935150147,6.662999963760376,6.723000001907349,-0.11391843968996884,6.12680433954101,2019,8,2019-08-05,5,0,5.989999771118164,彩晶(6116)
777,2019-08-06,6,5.920000076293945,5.639999866485596,5.650000095367432,16819109.0,5.869999885559082,6.269999885559082,6.557999944686889,6.701333332061767,-0.16271098200283074,5.955601370219725,2019,8,2019-08-06,6,1,5.869999885559082,彩晶(6116)
778,2019-08-07,7,5.980000019073486,5.769999980926514,5.960000038146973,10494917.0,5.769999980926514,6.095999908447266,6.438999938964844,6.674333333969116,-0.20706170148356495,5.831867110690918,2019,8,2019-08-07,7,2,5.769999980926514,彩晶(6116)
779,2019-08-08,8,6.340000152587891,5.929999828338623,5.949999809265137,57093022.0,6.320000171661377,6.051999950408936,6.37999997138977,6.663333336512248,-0.1955750795767024,6.157289151337891,2019,8,2019-08-08,8,3,6.320000171661377,彩晶(6116)
780,2019-08-12,12,6.28000020980835,6.059999942779541,6.28000020980835,18561494.0,6.079999923706055,6.005999946594239,6.307999944686889,6.646000003814697,-0.20349213256831256,6.105762999583334,2019,8,2019-08-12,12,0,6.079999923706055,彩晶(6116)
781,2019-08-13,13,6.059999942779541,5.96999979019165,6.0,8995626.0,6.010000228881836,6.0100000381469725,6.21399998664856,6.624666674931844,-0.21295997444152537,6.041921152449002,2019,8,2019-08-13,13,1,6.010000228881836,彩晶(6116)
782,2019-08-14,14,6.170000076293945,5.980000019073486,6.099999904632568,12303351.0,5.980000019073486,6.0320000648498535,6.150999975204468,6.6033333460489905,-0.22034408410534656,6.000640396865325,2019,8,2019-08-14,14,2,5.980000019073486,彩晶(6116)
783,2019-08-15,15,5.940000057220459,5.78000020980835,5.860000133514404,12533320.0,5.880000114440918,6.0540000915527346,6.075,6.577666680018107,-0.23159551188552108,5.920213541915721,2019,8,2019-08-15,15,3,5.880000114440918,彩晶(6116)
784,2019-08-16,16,6.159999847412109,5.880000114440918,5.880000114440918,26568457.0,6.079999923706055,6.00600004196167,6.028999996185303,6.558000008265178,-0.22181706724900252,6.02673779644261,2019,8,2019-08-16,16,4,6.079999923706055,彩晶(6116)
785,2019-08-19,19,6.289999961853027,6.110000133514404,6.119999885559082,28056129.0,6.21999979019165,6.034000015258789,6.019999980926514,6.538666661580404,-0.2004599823326627,6.155579125608637,2019,8,2019-08-19,19,0,6.21999979019165,彩晶(6116)
786,2019-08-20,20,6.340000152587891,6.139999866485596,6.25,19383923.0,6.139999866485596,6.059999942779541,6.034999990463257,6.517999982833862,-0.18782453954760747,6.145192952859943,2019,8,2019-08-20,20,1,6.139999866485596,彩晶(6116)
787,2019-08-21,21,6.289999961853027,6.190000057220459,6.25,13494537.0,6.21999979019165,6.1079998970031735,6.0699999809265135,6.501333316167195,-0.16940276522324815,6.195064177747748,2019,8,2019-08-21,21,2,6.21999979019165,彩晶(6116)
788,2019-08-22,22,6.28000020980835,6.130000114440918,6.25,10341614.0,6.139999866485596,6.159999847412109,6.1069999694824215,6.481666644414266,-0.15942099560409684,6.158354636906314,2019,8,2019-08-22,22,3,6.139999866485596,彩晶(6116)
789,2019-08-23,23,6.389999866485596,6.119999885559082,6.139999866485596,32270021.0,6.340000152587891,6.211999893188477,6.108999967575073,6.462999979654948,-0.13382931857119917,6.279451647360698,2019,8,2019-08-23,23,4,6.340000152587891,彩晶(6116)
790,2019-08-26,26,6.71999979019165,6.300000190734863,6.300000190734863,74117080.0,6.630000114440918,6.29399995803833,6.16399998664856,6.45633331934611,-0.08911983882699204,6.513150625414178,2019,8,2019-08-26,26,0,6.630000114440918,彩晶(6116)
791,2019-08-27,27,6.630000114440918,6.460000038146973,6.630000114440918,32747411.0,6.46999979019165,6.359999942779541,6.209999942779541,6.445666646957397,-0.06583899208629251,6.484383401932493,2019,8,2019-08-27,27,1,6.46999979019165,彩晶(6116)
792,2019-08-28,28,6.550000190734863,6.449999809265137,6.46999979019165,12569846.0,6.46999979019165,6.409999942779541,6.258999919891357,6.432666635513305,-0.046848710542025884,6.474794327438598,2019,8,2019-08-28,28,2,6.46999979019165,彩晶(6116)
793,2019-08-29,29,6.690000057220459,6.5,6.539999961853027,30097977.0,6.639999866485596,6.509999942779541,6.334999895095825,6.418666632970174,-0.01787513674410146,6.58493135346993,2019,8,2019-08-29,29,3,6.639999866485596,彩晶(6116)
794,2019-08-30,30,6.880000114440918,6.679999828338623,6.800000190734863,38256948.0,6.699999809265137,6.58199987411499,6.396999883651733,6.412666622797648,0.009814982171092446,6.661643657333401,2019,8,2019-08-30,30,4,6.699999809265137,彩晶(6116)
795,2019-09-02,2,6.789999961853027,6.699999809265137,6.760000228881836,14251696.0,6.730000019073486,6.6019998550415036,6.447999906539917,6.407333294550578,0.03379084726404891,6.7072145651601245,2019,9,2019-09-02,2,0,6.730000019073486,彩晶(6116)
796,2019-09-03,3,6.78000020980835,6.679999828338623,6.78000020980835,12685052.0,6.699999809265137,6.647999858856201,6.503999900817871,6.400666618347168,0.04979709694174961,6.702404727896799,2019,9,2019-09-03,3,1,6.699999809265137,彩晶(6116)
797,2019-09-04,4,6.960000038146973,6.75,6.760000228881836,35732371.0,6.869999885559082,6.727999877929688,6.568999910354615,6.3989999453226725,0.07533137731163819,6.814134833004988,2019,9,2019-09-04,4,2,6.869999885559082,彩晶(6116)
798,2019-09-05,5,6.949999809265137,6.829999923706055,6.900000095367432,24872829.0,6.840000152587891,6.767999935150146,6.638999938964844,6.39499994913737,0.0920852493038895,6.83137837939359,2019,9,2019-09-05,5,3,6.840000152587891,彩晶(6116)
799,2019-09-06,6,6.949999809265137,6.860000133514404,6.900000095367432,20562979.0,6.920000076293945,6.811999988555908,6.69699993133545,6.395333290100098,0.110543858034438,6.890459510660494,2019,9,2019-09-06,6,4,6.920000076293945,彩晶(6116)
800,2019-09-10,10,6.860000133514404,6.699999809265137,6.829999923706055,25215136.0,6.800000190734863,6.826000022888183,6.713999938964844,6.395333290100098,0.11417333146209785,6.83015329737674,2019,9,2019-09-10,10,1,6.800000190734863,彩晶(6116)
801,2019-09-11,11,6.900000095367432,6.800000190734863,6.840000152587891,14234198.0,6.860000133514404,6.858000087738037,6.752999973297119,6.3923333009084065,0.12050213563470713,6.850051188135183,2019,9,2019-09-11,11,2,6.860000133514404,彩晶(6116)
802,2019-09-12,12,6.929999828338623,6.829999923706055,6.909999847412109,13677783.0,6.869999885559082,6.858000087738037,6.792999982833862,6.400999959309896,0.1248850577491778,6.863350319751116,2019,9,2019-09-12,12,3,6.869999885559082,彩晶(6116)
803,2019-09-16,16,6.960000038146973,6.860000133514404,6.920000076293945,15077976.0,6.900000095367432,6.8700000762939455,6.819000005722046,6.409666633605957,0.12928895867543577,6.887783503495327,2019,9,2019-09-16,16,0,6.900000095367432,彩晶(6116)
804,2019-09-17,17,6.929999828338623,6.840000152587891,6.929999828338623,9418577.0,6.849999904632568,6.85600004196167,6.834000015258789,6.419999965031942,0.12727731075362136,6.8625944375868215,2019,9,2019-09-17,17,1,6.849999904632568,彩晶(6116)
805,2019-09-18,18,6.869999885559082,6.809999942779541,6.860000133514404,8889622.0,6.820000171661377,6.860000038146973,6.843000030517578,6.4369999726613365,0.12185763854647913,6.834198260303192,2019,9,2019-09-18,18,2,6.820000171661377,彩晶(6116)
806,2019-09-19,19,6.820000171661377,6.699999809265137,6.809999942779541,14490031.0,6.760000228881836,6.840000057220459,6.849000072479248,6.462666654586792,0.11143644535851038,6.784732906022288,2019,9,2019-09-19,19,3,6.760000228881836,彩晶(6116)
807,2019-09-20,20,7.090000152587891,6.909999847412109,6.949999809265137,64574393.0,6.929999828338623,6.852000045776367,6.855000066757202,6.497999986012776,0.11556298346866534,6.881577520899845,2019,9,2019-09-20,20,4,6.929999828338623,彩晶(6116)
808,2019-09-23,23,6.929999828338623,6.860000133514404,6.920000076293945,16797559.0,6.869999885559082,6.846000003814697,6.858000040054321,6.534666649500529,0.11269274884926705,6.873859097339337,2019,9,2019-09-23,23,0,6.869999885559082,彩晶(6116)
809,2019-09-24,24,6.889999866485596,6.809999942779541,6.869999885559082,10313871.0,6.809999942779541,6.838000011444092,6.847000026702881,6.550999975204467,0.10437342146021056,6.831286327632807,2019,9,2019-09-24,24,1,6.809999942779541,彩晶(6116)
810,2019-09-25,25,6.789999961853027,6.679999828338623,6.78000020980835,16090403.0,6.690000057220459,6.811999988555908,6.83600001335144,6.571333312988282,0.08709334877221764,6.7370954806912415,2019,9,2019-09-25,25,2,6.690000057220459,彩晶(6116)
811,2019-09-26,26,6.760000228881836,6.650000095367432,6.710000038146973,11412886.0,6.650000095367432,6.789999961853027,6.815000009536743,6.592666641871134,0.06937143334152918,6.679031890475368,2019,9,2019-09-26,26,3,6.650000095367432,彩晶(6116)
812,2019-09-27,27,6.659999847412109,6.400000095367432,6.650000095367432,23395494.0,6.400000095367432,6.684000015258789,6.7680000305175785,6.606666644414266,0.03475316417684038,6.4930106937367436,2019,9,2019-09-27,27,4,6.400000095367432,彩晶(6116)
813,2019-10-01,1,6.519999980926514,6.400000095367432,6.400000095367432,13217264.0,6.449999809265137,6.6,6.723000001907349,6.62566663424174,0.011223122331082358,6.464336770755672,2019,10,2019-10-01,1,1,6.449999809265137,彩晶(6116)
814,2019-10-02,2,6.46999979019165,6.369999885559082,6.369999885559082,10435624.0,6.389999866485596,6.515999984741211,6.6769999980926515,6.635999965667724,-0.012126314690954487,6.414778834575621,2019,10,2019-10-02,2,2,6.389999866485596,彩晶(6116)
815,2019-10-03,3,6.440000057220459,6.300000190734863,6.320000171661377,10922674.0,6.420000076293945,6.461999988555908,6.636999988555909,6.642666641871134,-0.027888662405092468,6.418259662387837,2019,10,2019-10-03,3,3,6.420000076293945,彩晶(6116)
816,2019-10-04,4,6.480000019073486,6.420000076293945,6.429999828338623,8027654.0,6.480000019073486,6.427999973297119,6.608999967575073,6.653999980290731,-0.035133940393527574,6.459419900178269,2019,10,2019-10-04,4,4,6.480000019073486,彩晶(6116)
817,2019-10-07,7,6.519999980926514,6.449999809265137,6.5,7003172.0,6.460000038146973,6.439999961853028,6.561999988555908,6.661999988555908,-0.04200549353081495,6.459806658824071,2019,10,2019-10-07,7,0,6.460000038146973,彩晶(6116)
818,2019-10-08,8,6.489999771118164,6.400000095367432,6.480000019073486,8978420.0,6.409999847412109,6.431999969482422,6.515999984741211,6.670999987920125,-0.05089911312969431,6.426602117882763,2019,10,2019-10-08,8,1,6.409999847412109,彩晶(6116)
